Blog	four	looking	second	here	kids	k	music	until	example	want	feature	wrong	series	re	wasn	service	person	came	saying	best	asked	much	life	worked	things	had	easy	possible	right	old	people	continue	support	happy	inside	later	team	love	working	following	awesome	such	data	years	course	didn	internet	million	quite	open	city	future	note	take	going	where	many	wants	photos	former	technology	being	around	world	power	industry	favorite	her	complete	am	having	tv	th	large	small	past	full	hours	social	via	company	learn	huge	its	entire	always	found	really	try	obama	also	play	plan	sometimes	set	see	project	movie	available	last	let	whole	blog	recent	amp	couple	d	by	anything	into	link	line	posted	up	us	customers	ago	age	results	video	great	makes	tools	next	process	high	perfect	doing	could	david	start	lot	face	fact	should	hope	means	stuff	email	ve	off	less	web	five	become	does	monday	announced	told	search	work	interview	after	order	office	then	them	network	another	john	do	away	voice	hand	photo	thanks	night	security	marketing	post	months	way	update	together	guy	change	live	write	product	use	still	now	drop	year	space	shows	care	couldn	yourself	ways	than	online	only	between	article	these	media	thinking	real	read	early	using	business	aren	trying	building	since	month	very	learned	family	put	takes	site	tried	help	soon	actually	food	reason	ask	american	miss	mobile	clear	latest	pretty	during	x	close	won	probably	both	battery	else	look	while	used	march	game	popular	some	run	similar	doesn	go	facebook	started	point	links	including	keep	art	long	need	based	she	key	problem	well	page	twitter	home	he	piece	star	friends	companies	likely	even	tips	ever	never	call	tell	movies	give	amazing	answer	before	better	weeks	went	side	mean	content	isn	matter	don	m	stop	bad	said	against	appeared	three	if	make	left	human	yes	yet	deal	down	daily	finally	did	visit	making	may	man	maybe	talk	nbsp	group	interesting	thing	think	first	little	anyone	were	especially	show	behind	get	enough	reading	across	according	those	different	same	running	money	either	users	videos	youtube	again	important	forget	public	two	share	needs	coming	through	good	everyone	house	hard	idea	done	least	part	b	click	build	tool	most	services	find	please	simple	create	fun	itself	yesterday	big	bit	google	often	back	single	others	control	stories	ll	day	text	taking	value	almost	com	thought	add	works	happens	buy	minutes	special	original	every	school	york	would	phone	me	my	times	end	over	writing	each	got	free	wanted	days	already	top	too	took	though	watch	report	news	been	several	able	everything	head	check	no	cool	posts	says	goes	water	today	local	information	happened	name	turn	place	given	white	any	sure	state	review	come	case	myself	someone	week	without	seems	there	program	far	list	design	version	known	rather	short	might	number	health	feel	story	kind	nothing	his	him	wrote	user	c	reasons	questions	question	called	say	nice	once	issues	heart	app	few	something	six	instead	related	our	their	which	who	why	words	view	job	april	will	gets	other	know	because	getting	own	apps	made	whether	book
Schneier on Security	1	1	0	3	0	0	0	0	1	3	0	3	0	4	0	0	2	0	2	0	2	1	1	0	0	2	0	0	4	0	2	0	1	0	0	0	0	0	0	0	0	3	5	1	0	1	1	0	0	1	0	1	0	0	3	2	2	0	0	0	2	1	1	2	3	0	0	1	0	0	0	0	2	0	0	0	0	0	3	2	0	0	0	1	0	0	2	1	2	0	4	0	0	0	2	3	1	6	0	0	0	1	0	2	0	1	1	3	2	0	0	0	1	3	4	0	0	0	2	2	3	0	0	0	1	0	1	3	2	0	1	1	0	1	2	0	0	1	1	2	0	4	0	2	3	0	0	0	0	2	3	0	3	1	0	1	4	0	2	1	3	0	0	0	0	0	0	4	0	3	2	4	0	0	0	2	0	0	0	9	2	1	0	2	0	1	0	0	0	0	3	2	3	0	0	3	3	0	1	0	0	2	0	1	1	0	1	1	5	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	0	3	0	0	3	0	1	0	1	0	1	0	0	1	1	1	3	0	0	1	0	1	0	3	1	0	0	0	1	1	0	0	2	0	1	0	1	0	0	1	1	0	0	0	3	0	0	0	2	0	0	0	2	2	0	0	5	4	0	0	0	2	2	1	0	0	1	1	0	0	0	1	2	0	0	2	1	1	1	0	1	2	0	1	0	0	1	1	0	0	9	1	3	0	1	0	0	0	0	0	0	0	4	1	0	1	0	0	3	0	0	1	1	0	2	0	0	0	1	0	3	0	1	0	0	0	0	0	0	0	0	1	1	0	0	2	0	2	2	0	0	2	0	0	0	0	0	0	2	0	0	0	1	1	0	0	6	3	3	2	0	1	2	0	0	1	0	0	1	0	0	3	0	1	0	1	4	3	0	1	0	0	1	3	0	0	1	0	0	1	0	3	0	0	0	1	0	0	2	0	0	0	2	1	0	1	0	0	1	5	1	0	0	1	0	0	0	0	1	0	0	1	2	0	3	1	0	0	0	0	0	1	0	0	18	1	0	2	0	0	1	4	0	2	0	0	8	0	12	1	3	0	1	1	3	1	4	3	5	0	2	2	0	1	0
PaulStamatiou.com - Technology, Design and Photography	2	23	24	72	1	14	15	42	58	131	35	5	6	120	22	22	16	15	8	50	15	150	27	18	69	128	34	16	78	29	92	5	25	14	22	38	35	34	65	10	2	39	53	28	35	47	7	3	29	33	5	17	18	75	58	100	70	11	134	1	4	50	86	19	18	1	6	3	7	20	57	12	2	35	41	18	22	23	9	23	21	17	13	33	18	42	35	50	30	1	121	21	13	7	70	101	7	3	10	57	47	10	92	14	53	0	80	169	29	135	19	29	3	299	28	5	17	2	16	125	47	28	20	56	58	34	16	27	82	16	47	36	4	6	59	4	23	22	83	81	33	25	45	2	12	36	1	6	5	62	77	2	94	2	24	127	148	12	50	1	181	34	6	5	150	13	10	2	28	155	21	76	20	14	3	32	18	23	38	214	54	153	11	32	12	5	8	13	13	12	85	8	186	34	25	79	101	20	29	86	18	84	5	5	28	21	58	27	56	14	16	25	20	101	8	35	12	45	0	14	13	0	5	109	11	9	28	24	99	21	27	28	35	33	8	55	100	61	1	6	17	184	38	15	36	64	15	48	52	12	25	43	5	36	102	28	0	14	14	60	88	98	40	20	9	3	26	4	17	85	7	22	35	14	23	5	15	9	6	59	82	12	13	16	9	79	9	10	119	133	12	7	18	2	5	15	266	78	25	1	15	34	7	58	10	8	40	12	15	46	2	10	15	0	12	26	61	52	149	28	7	59	11	33	11	186	36	23	11	0	56	49	62	32	10	21	67	26	5	27	18	7	8	53	33	13	15	64	71	19	3	38	28	44	15	65	11	24	37	13	85	12	59	11	28	46	10	16	2	31	66	75	38	81	17	17	38	7	117	55	33	19	15	14	55	30	33	24	12	13	19	3	9	55	2	4	163	29	202	560	32	65	60	19	69	35	11	47	19	22	39	82	20	43	11	3	18	76	28	35	51	18	11	104	6	38	6	18	6	11	9	9	1	28	20	25	11	4	103	43	14	13	44	27	28	18	39	39	18	188	4	22	23	152	44	4	32	8	31	14	0	27	15	23	11	19	4	9	117	26	8	12	4	29	24	21	15	24	3	98	123	70	2	42	10	107	118	75	18	57	3	17	14	2	155	13	106	62	29	48	67	38	45	7	9
Search Engine Roundtable	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	3	1	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	2	0	19	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	3	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	3	1	0	0	0	0	0	0	0	1	0	1	32	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	1	0	0	1	3	0	1	0	0	1	0	0	0	0	1	0	0	4	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	7	1	1	1	0	0	0	0	0	0	0	0
Copyblogger	0	0	0	1	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	1	2	0	0	4	1	3	0	0	0	0	0	0	0	2	0	0	2	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	3	0	0	0	1	1	2	0	1	1	5	0	0	1	0	0	0	1	0	1	2	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	4	1	0	0	2	0	0	4	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	3	0	1	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	10	0	2	0	0	0	0	0	0	2	0	0	4	0	2	0	0	0	0	0	4	3	2	2	0	3	0	7	0	0	11	0	0	4	0	1	2	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	1	1	0	0	1	0	0	2	0	0	0	0	0	1	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	10	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	17	0	0	0	0	0	0	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	7	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	2	0	1	5	1	0	0	0	1	0	0	2	0	1	3	0	2	0	2
Joi Ito's Web	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	2	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	3	0	0	2	0	0	0	0	0	0	1	0	1	0	1	0	2	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	4	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	1	1	3	0	0	1	1	1	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	0	1	0	0	0	1	0	1	0	1	1	2	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	2	0	1	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	1	0	0	6	3	1	0	0	0	0	0	3	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	11	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	4	0	0	2	0	0	3	1	2	0	0	0	0	0	0	1	1	3	0	1	3	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	1	0	6
Engadget RSS Feed	0	2	0	1	3	5	0	0	0	0	3	0	2	4	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1	1	0	1	0	0	1	1	2	1	0	0	0	0	0	6	1	0	1	0	1	2	0	0	1	2	0	0	0	2	0	0	0	3	3	0	2	1	0	1	0	0	3	0	0	5	0	2	2	2	1	0	0	2	0	0	1	1	0	0	0	2	2	0	0	0	0	0	2	7	0	0	0	0	0	8	0	0	0	0	0	5	0	0	0	3	0	1	1	0	3	2	0	1	0	0	0	2	1	0	0	6	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	2	0	3	0	0	0	0	0	0	1	0	1	3	0	0	1	0	0	0	2	1	5	0	4	1	3	0	0	0	0	2	1	3	0	0	1	0	0	0	2	0	0	0	2	0	0	2	1	0	0	0	2	1	0	1	3	2	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	2	2	0	0	2	2	2	2	0	3	0	0	0	0	3	0	1	0	0	1	0	1	0	0	1	0	0	2	0	2	3	4	0	2	1	0	0	2	0	0	1	1	0	2	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	2	0	0	2	4	1	0	0	0	0	0	2	2	3	1	0	1	1	0	0	0	0	0	0	2	0	1	1	1	1	1	0	0	3	1	0	1	0	1	0	1	0	0	0	0	0	4	0	0	0	1	1	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	1	0	3	0	0	0	0	1	0	0	0	0	1	1	1	1	0	1	0	0	1	3	0	1	0	0	1	0	0	1	1	0	1	4	0	1	0	0	0	0	0	1	5	0	0	0	0	0	0	2	1	2	0	2	1	0	1	4	0	0	1	1	0	0	1	0	1	0	0	5	0	0	0	0	0	0	1	0	1	0	0	0	1	2	0	2	0	2	1	4	0	1	2	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	1	1	2	0	0	0	1	3	0	3	3	0	0	0	4	3	0	3	2	1	0	2	1	0	0	0
TMZ.com	0	0	0	2	0	0	0	0	0	0	0	1	1	6	3	0	0	2	0	5	1	0	1	0	0	1	0	0	0	1	2	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	1	1	1	0	0	0	4	0	0	0	1	1	0	0	1	0	1	1	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	3	0	2	0	1	1	0	0	0	0	1	0	6	0	1	0	0	2	3	2	0	1	1	0	3	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	6	0	0	0	0	0	5	1	3	0	1	3	3	0	0	1	0	0	2	0	2	1	0	0	2	1	3	0	0	2	1	2	0	2	3	1	0	0	0	0	0	2	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	2	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	2	1	0	0	0	0	0	0	0	0	5	0	1	0	0	0	2	0	0	0	0	0	0	1	1	1	0	2	0	0	3	0	0	2	19	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	2	0	0	1	0	0	1	3	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	4	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	1	1	0	0	1	1	0	1	0	0	0	1	0	0	0	0	3	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	12	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	2	1	2	1	0	0	0	1	3	0	0	0	5	1	0	0	0	0	0
A Consuming Experience (full feed)	0	0	0	16	0	0	0	1	2	9	0	2	0	13	1	0	0	2	2	4	1	1	0	9	2	12	1	5	10	6	9	3	2	0	5	4	0	1	7	2	0	0	1	2	0	5	3	0	0	29	0	0	4	3	2	8	3	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	0	0	0	1	4	3	0	2	0	0	0	6	0	6	11	3	18	0	10	0	0	1	6	20	1	0	1	0	2	0	1	0	2	1	7	10	6	0	0	2	0	22	0	0	0	0	0	1	0	0	5	8	2	0	0	1	8	0	10	3	0	0	13	2	0	1	0	19	3	1	1	0	0	1	0	0	0	6	15	0	13	1	0	34	8	3	2	0	16	0	0	0	0	1	0	3	0	9	0	15	4	0	0	2	0	0	0	18	4	14	0	0	4	0	1	0	0	2	5	2	19	1	0	0	0	1	1	2	0	17	0	0	7	0	2	0	2	0	0	0	3	3	10	2	2	0	0	2	0	0	0	0	3	0	1	0	4	8	2	2	11	2	3	5	1	2	0	0	0	14	4	1	7	14	0	2	1	0	0	8	0	3	8	3	0	3	10	5	2	0	0	0	0	0	0	0	1	13	5	0	1	0	0	0	1	0	0	12	3	0	0	0	0	0	3	0	19	1	5	1	0	2	0	0	54	18	10	0	5	3	1	8	0	1	2	1	0	15	0	0	0	29	0	0	2	1	10	0	0	3	1	2	0	17	2	0	3	0	4	2	17	6	0	1	2	0	0	16	1	0	0	4	0	0	0	1	1	0	0	1	0	1	3	0	1	18	0	24	5	0	9	6	0	1	0	3	0	2	13	0	0	9	2	1	0	0	8	1	3	2	1	1	0	0	18	3	0	0	4	0	11	5	0	0	2	0	12	19	1	1	12	0	2	4	6	1	1	7	8	3	1	3	0	2	0	5	0	1	3	0	6	10	0	1	1	1	0	0	0	0	1	13	1	1	1	0	2	11	0	6	0	4	1	0	0	5	5	24	7	3	3	0	22	0	1	0	1	4	0	1	0	1	2	0	0	0	2	3	0	0	0	1	2	0	4	4	0	0	1	5	0	4	0	0	4	16	3	3	0	10	0	0	11	2	13	2	14	2	3	0	4	0	0
Latest from Crooks and Liars	0	1	0	3	0	0	2	1	0	2	0	0	0	2	1	0	0	0	2	0	2	1	1	0	0	1	0	0	6	1	3	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	2	1	2	2	0	0	4	4	1	0	0	0	3	0	2	0	2	0	0	2	4	0	1	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	4	0	0	0	0	3	1	0	0	0	0	2	0	1	0	0	2	1	9	1	7	1	0	0	4	2	1	0	0	0	1	0	0	0	1	0	1	1	0	0	0	1	0	0	2	0	1	0	0	0	1	2	1	0	0	0	0	4	0	2	0	1	1	5	0	0	1	2	0	2	2	5	1	0	0	0	0	0	1	0	0	0	2	0	0	1	1	0	0	0	1	3	2	2	0	0	0	0	0	0	0	0	0	1	2	0	0	4	0	0	5	0	2	1	0	2	1	1	0	3	0	0	0	2	0	0	3	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	1	1	0	1	3	2	1	1	0	1	4	1	0	0	2	0	4	2	0	1	0	1	2	1	0	3	0	0	2	0	2	1	12	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	5	1	0	4	5	0	0	1	3	2	0	0	0	8	2	4	2	0	0	2	2	0	0	0	0	2	0	0	0	0	0	0	2	0	4	0	7	0	0	0	1	1	1	4	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	3	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	3	0	1	0	0	0	2	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	3	0	1	0	1	0	4	0	1	1	0	0	0	1	0	0	3	0	0	0	1	3	1	1	0	0	0	3	0	0	0	0	0	2	2	0	0	0	1	0	0	0	0	0	6	0	2	1	0	0	2	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	1	3	1	8	3	1	0	1	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	1	9	3	5	0	0	0	0	1	2	0	2	0	1	0	3	0	0	0	0
Publishing 2.0	0	1	2	7	0	0	0	0	2	1	6	1	0	8	0	1	0	0	0	3	1	3	0	0	1	5	1	0	6	1	5	2	1	0	0	0	1	0	0	0	2	0	1	2	1	0	4	1	1	2	1	21	0	1	3	4	6	0	0	0	4	2	4	2	1	3	0	0	0	6	0	2	0	0	0	0	5	0	1	0	3	0	0	4	1	0	1	0	0	0	1	1	0	1	2	2	2	0	0	5	1	0	6	3	0	0	1	12	0	1	14	0	2	2	6	0	1	2	1	0	5	0	1	2	0	2	0	2	5	0	2	3	0	1	4	1	0	1	0	6	1	1	22	1	3	0	0	1	0	1	1	0	0	0	0	2	1	2	0	0	2	5	0	0	1	0	0	0	0	9	1	4	1	1	1	2	0	0	1	2	1	7	0	1	2	1	2	2	0	0	3	9	1	0	5	5	14	2	0	1	0	2	7	0	2	0	2	0	2	0	0	3	0	11	0	2	0	1	0	1	2	0	0	0	0	0	0	0	0	0	2	0	2	0	1	0	2	2	0	2	0	5	0	1	2	1	4	2	0	9	0	2	0	1	2	1	0	0	1	2	13	7	0	8	0	0	0	8	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	15	2	1	6	5	1	0	1	0	2	3	10	4	2	2	0	1	0	2	2	1	0	1	3	3	0	0	1	0	0	2	1	2	9	0	3	0	0	1	1	6	3	8	1	1	2	0	0	0	3	0	1	0	3	0	7	2	0	4	1	3	0	5	1	1	1	1	1	0	1	0	0	0	0	0	13	1	1	0	2	1	0	0	1	4	1	9	2	2	0	1	2	10	2	0	3	0	5	1	10	0	0	1	1	0	0	0	2	2	0	5	2	0	1	4	4	2	4	1	1	3	2	0	3	1	1	2	0	1	0	3	57	5	1	0	2	3	0	5	1	0	0	1	0	5	3	3	1	1	0	0	0	0	3	1	2	0	2	2	0	1	5	1	1	11	2	0	0	0	0	0	2	0	1	2	0	0	4	5	1	4	0	1	2	0	3	1	4	4	1	0	0	0	2	0	4	0	0	1	1	7	6	12	2	9	0	0	0	0	14	2	7	2	5	0	2	0	0	1	2
